n,thresholdModel,thresholdClass,Accuracy,logloss
1,0.05,0.5,0.765957446808511,0.434589198171553
1,0.1,0.5,0.765957446808511,0.436069635484102
1,0.15,0.5,0.765957446808511,0.434314330993223
1,0.2,0.5,0.765957446808511,0.43273091367675
1,0.25,0.5,0.74468085106383,0.434192135883167
1,0.3,0.5,0.74468085106383,0.434192135883167
1,0.35,0.5,0.74468085106383,0.434580174735405
1,0.4,0.5,0.74468085106383,0.434580174735405
1,0.45,0.5,0.808510638297872,0.438375536014161
1,0.5,0.5,0.808510638297872,0.444798454188231
1,0.55,0.5,0.808510638297872,0.444798454188231
1,0.6,0.5,0.74468085106383,0.566162964828162
1,0.65,0.5,0.74468085106383,0.566162964828162
1,0.7,0.5,0.74468085106383,0.566162964828162
1,0.75,0.5,0.74468085106383,0.566162964828162
1,0.8,0.5,0.74468085106383,0.566162964828162
1,0.85,0.5,0.74468085106383,0.566162964828162
1,0.9,0.5,0.74468085106383,0.566162964828162
1,0.95,0.5,0.74468085106383,0.566162964828162
1,1,0.5,0.74468085106383,0.566162964828162
2,0.05,0.5,0.765957446808511,0.434718534576036
2,0.1,0.5,0.765957446808511,0.43512883727808
2,0.15,0.5,0.765957446808511,0.433255603878715
2,0.2,0.5,0.765957446808511,0.433334995836298
2,0.25,0.5,0.765957446808511,0.433547709947115
2,0.3,0.5,0.74468085106383,0.436264515913959
2,0.35,0.5,0.74468085106383,0.439535115398793
2,0.4,0.5,0.74468085106383,0.439535115398793
2,0.45,0.5,0.74468085106383,0.439535115398793
2,0.5,0.5,0.808510638297872,0.43248510905297
2,0.55,0.5,0.808510638297872,0.435548078480522
2,0.6,0.5,0.808510638297872,0.435548078480522
2,0.65,0.5,0.765957446808511,0.448790418500777
2,0.7,0.5,0.765957446808511,0.4533608229077
2,0.75,0.5,0.765957446808511,0.4533608229077
2,0.8,0.5,0.765957446808511,0.4533608229077
2,0.85,0.5,0.74468085106383,0.4748631883092
2,0.9,0.5,0.74468085106383,0.564219717068033
2,0.95,0.5,0.74468085106383,0.564219717068033
2,1,0.5,0.74468085106383,0.564219717068033
3,0.05,0.5,0.765957446808511,0.432356836931768
3,0.1,0.5,0.765957446808511,0.432783169387096
3,0.15,0.5,0.765957446808511,0.435077040080375
3,0.2,0.5,0.74468085106383,0.431608801460444
3,0.25,0.5,0.74468085106383,0.431608801460444
3,0.3,0.5,0.765957446808511,0.428941858563886
3,0.35,0.5,0.765957446808511,0.428941858563886
3,0.4,0.5,0.765957446808511,0.428941858563886
3,0.45,0.5,0.765957446808511,0.428941858563886
3,0.5,0.5,0.765957446808511,0.428941858563886
3,0.55,0.5,0.765957446808511,0.428941858563886
3,0.6,0.5,0.808510638297872,0.431294859969814
3,0.65,0.5,0.808510638297872,0.431294859969814
3,0.7,0.5,0.765957446808511,0.448840430869986
3,0.75,0.5,0.74468085106383,0.562053859038315
3,0.8,0.5,0.74468085106383,0.562053859038315
3,0.85,0.5,0.74468085106383,0.562053859038315
3,0.9,0.5,0.74468085106383,0.562053859038315
3,0.95,0.5,0.74468085106383,0.562053859038315
3,1,0.5,0.74468085106383,0.562053859038315
4,0.05,0.5,0.765957446808511,0.428708700370665
4,0.1,0.5,0.765957446808511,0.430200023335633
4,0.15,0.5,0.74468085106383,0.427559025603213
4,0.2,0.5,0.74468085106383,0.425806627576522
4,0.25,0.5,0.787234042553192,0.41599172290339
4,0.3,0.5,0.808510638297872,0.417989629769683
4,0.35,0.5,0.808510638297872,0.417989629769683
4,0.4,0.5,0.808510638297872,0.42946742144741
4,0.45,0.5,0.808510638297872,0.42946742144741
4,0.5,0.5,0.765957446808511,0.449367111692558
4,0.55,0.5,0.765957446808511,0.459044584836049
4,0.6,0.5,0.765957446808511,0.459044584836049
4,0.65,0.5,0.765957446808511,0.459044584836049
4,0.7,0.5,0.765957446808511,0.459044584836049
4,0.75,0.5,0.74468085106383,0.5344573749971
4,0.8,0.5,0.74468085106383,0.5344573749971
4,0.85,0.5,0.74468085106383,0.5344573749971
4,0.9,0.5,0.74468085106383,0.5344573749971
4,0.95,0.5,0.74468085106383,0.5344573749971
4,1,0.5,0.74468085106383,0.5344573749971
5,0.05,0.5,0.765957446808511,0.431867576367595
5,0.1,0.5,0.74468085106383,0.431988374279634
5,0.15,0.5,0.74468085106383,0.430357054853958
5,0.2,0.5,0.74468085106383,0.430357054853958
5,0.25,0.5,0.765957446808511,0.426912271509766
5,0.3,0.5,0.765957446808511,0.426912271509766
5,0.35,0.5,0.765957446808511,0.426947059755464
5,0.4,0.5,0.787234042553192,0.437702486987671
5,0.45,0.5,0.787234042553192,0.437702486987671
5,0.5,0.5,0.787234042553192,0.437702486987671
5,0.55,0.5,0.787234042553192,0.437702486987671
5,0.6,0.5,0.787234042553192,0.437702486987671
5,0.65,0.5,0.787234042553192,0.437702486987671
5,0.7,0.5,0.787234042553192,0.4413967536935
5,0.75,0.5,0.787234042553192,0.4413967536935
5,0.8,0.5,0.74468085106383,0.46579218632114
5,0.85,0.5,0.74468085106383,0.46579218632114
5,0.9,0.5,0.74468085106383,0.476457227897446
5,0.95,0.5,0.74468085106383,0.476457227897446
5,1,0.5,0.74468085106383,0.476457227897446
6,0.05,0.5,0.808510638297872,0.464859332026376
6,0.1,0.5,0.74468085106383,0.429358640433089
6,0.15,0.5,0.74468085106383,0.425352606571649
6,0.2,0.5,0.74468085106383,0.42626506782881
6,0.25,0.5,0.74468085106383,0.426679897114235
6,0.3,0.5,0.74468085106383,0.426679897114235
6,0.35,0.5,0.808510638297872,0.43228869645107
6,0.4,0.5,0.808510638297872,0.435051390387266
6,0.45,0.5,0.808510638297872,0.435051390387266
6,0.5,0.5,0.787234042553192,0.441925617561294
6,0.55,0.5,0.787234042553192,0.441925617561294
6,0.6,0.5,0.787234042553192,0.441925617561294
6,0.65,0.5,0.74468085106383,0.471889086708585
6,0.7,0.5,0.74468085106383,0.471889086708585
6,0.75,0.5,0.74468085106383,0.536732109915926
6,0.8,0.5,0.74468085106383,0.536732109915926
6,0.85,0.5,0.74468085106383,0.536732109915926
6,0.9,0.5,0.74468085106383,0.536732109915926
6,0.95,0.5,0.74468085106383,0.536732109915926
6,1,0.5,0.74468085106383,0.536732109915926
7,0.05,0.5,0.765957446808511,0.432820427945554
7,0.1,0.5,0.765957446808511,0.433129171425948
7,0.15,0.5,0.765957446808511,0.433750942261295
7,0.2,0.5,0.765957446808511,0.433900874016603
7,0.25,0.5,0.74468085106383,0.429701890561362
7,0.3,0.5,0.74468085106383,0.429701890561362
7,0.35,0.5,0.765957446808511,0.422280310200645
7,0.4,0.5,0.765957446808511,0.422280310200645
7,0.45,0.5,0.765957446808511,0.422280310200645
7,0.5,0.5,0.765957446808511,0.422280310200645
7,0.55,0.5,0.829787234042553,0.423093437259603
7,0.6,0.5,0.829787234042553,0.423093437259603
7,0.65,0.5,0.765957446808511,0.445705381367318
7,0.7,0.5,0.765957446808511,0.445705381367318
7,0.75,0.5,0.765957446808511,0.445705381367318
7,0.8,0.5,0.765957446808511,0.457089545157889
7,0.85,0.5,0.765957446808511,0.457089545157889
7,0.9,0.5,0.765957446808511,0.457089545157889
7,0.95,0.5,0.765957446808511,0.457089545157889
7,1,0.5,0.765957446808511,0.457089545157889
8,0.05,0.5,0.765957446808511,0.43083765874993
8,0.1,0.5,0.74468085106383,0.430613848531455
8,0.15,0.5,0.74468085106383,0.42314174955823
8,0.2,0.5,0.74468085106383,0.423701435922191
8,0.25,0.5,0.808510638297872,0.425768172175126
8,0.3,0.5,0.808510638297872,0.42723528065728
8,0.35,0.5,0.808510638297872,0.42723528065728
8,0.4,0.5,0.808510638297872,0.42723528065728
8,0.45,0.5,0.808510638297872,0.42723528065728
8,0.5,0.5,0.808510638297872,0.42723528065728
8,0.55,0.5,0.787234042553192,0.436318842522857
8,0.6,0.5,0.765957446808511,0.450537589290873
8,0.65,0.5,0.765957446808511,0.450537589290873
8,0.7,0.5,0.765957446808511,0.450537589290873
8,0.75,0.5,0.765957446808511,0.450537589290873
8,0.8,0.5,0.74468085106383,0.544257425704552
8,0.85,0.5,0.74468085106383,0.544257425704552
8,0.9,0.5,0.74468085106383,0.544257425704552
8,0.95,0.5,0.74468085106383,0.544257425704552
8,1,0.5,0.74468085106383,0.544257425704552
9,0.05,0.5,0.765957446808511,0.430390141617609
9,0.1,0.5,0.74468085106383,0.430644606944304
9,0.15,0.5,0.74468085106383,0.431030182680025
