nodes,nTree,accuracy
1,1,0.606741573033708
2,1,0.612359550561798
3,1,0.629213483146067
4,1,0.606741573033708
5,1,0.589887640449438
6,1,0.651685393258427
7,1,0.640449438202247
8,1,0.612359550561798
9,1,0.606741573033708
10,1,0.601123595505618
11,1,0.612359550561798
12,1,0.623595505617978
13,1,0.573033707865169
14,1,0.601123595505618
15,1,0.617977528089888
16,1,0.606741573033708
17,1,0.634831460674157
18,1,0.646067415730337
19,1,0.629213483146067
20,1,0.629213483146067
21,1,0.623595505617978
22,1,0.623595505617978
23,1,0.674157303370787
24,1,0.674157303370787
25,1,0.674157303370787
26,1,0.651685393258427
27,1,0.679775280898876
28,1,0.679775280898876
29,1,0.679775280898876
30,1,0.679775280898876
31,1,0.679775280898876
32,1,0.679775280898876
33,1,0.679775280898876
34,1,0.679775280898876
35,1,0.679775280898876
36,1,0.679775280898876
37,1,0.679775280898876
38,1,0.679775280898876
39,1,0.674157303370787
40,1,0.674157303370787
41,1,0.674157303370787
42,1,0.674157303370787
43,1,0.674157303370787
44,1,0.674157303370787
45,1,0.674157303370787
46,1,0.674157303370787
47,1,0.674157303370787
48,1,0.674157303370787
49,1,0.674157303370787
50,1,0.674157303370787
51,1,0.674157303370787
52,1,0.674157303370787
53,1,0.674157303370787
54,1,0.674157303370787
55,1,0.691011235955056
56,1,0.691011235955056
57,1,0.691011235955056
58,1,0.691011235955056
59,1,0.691011235955056
60,1,0.691011235955056
61,1,0.691011235955056
62,1,0.691011235955056
63,1,0.691011235955056
64,1,0.691011235955056
65,1,0.691011235955056
66,1,0.691011235955056
67,1,0.691011235955056
68,1,0.691011235955056
69,1,0.719101123595506
70,1,0.719101123595506
71,1,0.719101123595506
72,1,0.719101123595506
73,1,0.719101123595506
74,1,0.719101123595506
75,1,0.719101123595506
76,1,0.719101123595506
77,1,0.719101123595506
78,1,0.719101123595506
79,1,0.719101123595506
80,1,0.719101123595506
81,1,0.674157303370787
82,1,0.724719101123596
83,1,0.724719101123596
84,1,0.724719101123596
85,1,0.724719101123596
86,1,0.724719101123596
87,1,0.724719101123596
88,1,0.724719101123596
89,1,0.724719101123596
90,1,0.724719101123596
91,1,0.724719101123596
92,1,0.724719101123596
93,1,0.724719101123596
94,1,0.724719101123596
95,1,0.724719101123596
96,1,0.724719101123596
97,1,0.724719101123596
98,1,0.724719101123596
99,1,0.724719101123596
100,1,0.724719101123596
1,2,0.661290322580645
2,2,0.655737704918033
3,2,0.679738562091503
4,2,0.679738562091503
5,2,0.637254901960784
6,2,0.700325732899023
7,2,0.681818181818182
8,2,0.679611650485437
9,2,0.669934640522876
10,2,0.636065573770492
11,2,0.641196013289037
12,2,0.636363636363636
13,2,0.624161073825503
14,2,0.654362416107383
15,2,0.654362416107383
16,2,0.674418604651163
17,2,0.665551839464883
18,2,0.681063122923588
19,2,0.664451827242525
20,2,0.664451827242525
21,2,0.664451827242525
22,2,0.664451827242525
23,2,0.682119205298013
24,2,0.69205298013245
25,2,0.69205298013245
26,2,0.661129568106312
27,2,0.697674418604651
28,2,0.697674418604651
29,2,0.707641196013289
30,2,0.700996677740864
31,2,0.704318936877076
32,2,0.704318936877076
33,2,0.691029900332226
34,2,0.691029900332226
35,2,0.691029900332226
36,2,0.691029900332226
37,2,0.693333333333333
38,2,0.693333333333333
39,2,0.68561872909699
40,2,0.68561872909699
41,2,0.68561872909699
42,2,0.68561872909699
43,2,0.68561872909699
44,2,0.68561872909699
45,2,0.691029900332226
46,2,0.691029900332226
47,2,0.691029900332226
48,2,0.691029900332226
49,2,0.67109634551495
50,2,0.67109634551495
51,2,0.67109634551495
52,2,0.67109634551495
53,2,0.677740863787375
54,2,0.677740863787375
55,2,0.698996655518395
56,2,0.716666666666667
57,2,0.716666666666667
58,2,0.716666666666667
59,2,0.716666666666667
60,2,0.716666666666667
61,2,0.716666666666667
62,2,0.716666666666667
63,2,0.72
64,2,0.72
65,2,0.723333333333333
66,2,0.723333333333333
67,2,0.723333333333333
68,2,0.723333333333333
69,2,0.71
70,2,0.733333333333333
71,2,0.733333333333333
72,2,0.733333333333333
73,2,0.733333333333333
74,2,0.733333333333333
75,2,0.733333333333333
76,2,0.733333333333333
77,2,0.733333333333333
78,2,0.733333333333333
79,2,0.733333333333333
80,2,0.733333333333333
81,2,0.682274247491639
82,2,0.706666666666667
83,2,0.706666666666667
84,2,0.706666666666667
85,2,0.706666666666667
86,2,0.706666666666667
87,2,0.706666666666667
88,2,0.726666666666667
89,2,0.726666666666667
90,2,0.726666666666667
91,2,0.726666666666667
92,2,0.726666666666667
93,2,0.726666666666667
94,2,0.726666666666667
95,2,0.726666666666667
96,2,0.74
97,2,0.74
98,2,0.710963455149502
99,2,0.710963455149502
100,2,0.710963455149502
1,3,0.651595744680851
2,3,0.676470588235294
3,3,0.701657458563536
4,3,0.695054945054945
5,3,0.667582417582418
6,3,0.713896457765668
7,3,0.649315068493151
8,3,0.694822888283379
9,3,0.666666666666667
10,3,0.683783783783784
11,3,0.678378378378378
12,3,0.66016713091922
13,3,0.666666666666667
14,3,0.69060773480663
15,3,0.688888888888889
16,3,0.703601108033241
17,3,0.693370165745856
18,3,0.697222222222222
19,3,0.676795580110497
20,3,0.685082872928177
21,3,0.681440443213297
22,3,0.673130193905817
23,3,0.702479338842975
24,3,0.71978021978022
25,3,0.71978021978022
26,3,0.657458563535912
27,3,0.712707182320442
28,3,0.712707182320442
29,3,0.702479338842975
30,3,0.716253443526171
31,3,0.706371191135734
32,3,0.709944751381216
33,3,0.696969696969697
34,3,0.696969696969697
35,3,0.696969696969697
36,3,0.696969696969697
37,3,0.693593314763231
38,3,0.693593314763231
39,3,0.707865168539326
40,3,0.693820224719101
41,3,0.721910112359551
42,3,0.721910112359551
43,3,0.721910112359551
44,3,0.721910112359551
45,3,0.722689075630252
46,3,0.722689075630252
47,3,0.722689075630252
48,3,0.722689075630252
49,3,0.687323943661972
50,3,0.687323943661972
51,3,0.687323943661972
52,3,0.687323943661972
53,3,0.697478991596639
54,3,0.697478991596639
55,3,0.692957746478873
56,3,0.715877437325905
57,3,0.715877437325905
58,3,0.715877437325905
59,3,0.715877437325905
60,3,0.732590529247911
61,3,0.732590529247911
62,3,0.732590529247911
63,3,0.738888888888889
64,3,0.738888888888889
65,3,0.713888888888889
66,3,0.713888888888889
67,3,0.713888888888889
68,3,0.730555555555556
69,3,0.726760563380282
70,3,0.728291316526611
71,3,0.728291316526611
72,3,0.728291316526611
73,3,0.728291316526611
74,3,0.722689075630252
75,3,0.722689075630252
76,3,0.722689075630252
77,3,0.722689075630252
78,3,0.722689075630252
79,3,0.722689075630252
80,3,0.722689075630252
81,3,0.699438202247191
82,3,0.701408450704225
83,3,0.701408450704225
84,3,0.701408450704225
85,3,0.701408450704225
86,3,0.701408450704225
87,3,0.701408450704225
88,3,0.715083798882682
89,3,0.729050279329609
90,3,0.729050279329609
91,3,0.743016759776536
92,3,0.743016759776536
93,3,0.743016759776536
94,3,0.743016759776536
95,3,0.743016759776536
96,3,0.705882352941177
97,3,0.705882352941177
98,3,0.692957746478873
99,3,0.692957746478873
100,3,0.692957746478873
1,4,0.652912621359223
2,4,0.660377358490566
3,4,0.693430656934307
4,4,0.677184466019418
5,4,0.658595641646489
6,4,0.685096153846154
7,4,0.673076923076923
8,4,0.690997566909976
9,4,0.677884615384615
10,4,0.695652173913044
11,4,0.688405797101449
12,4,0.693627450980392
13,4,0.669902912621359
14,4,0.691358024691358
15,4,0.702702702702703
16,4,0.725925925925926
17,4,0.721271393643032
18,4,0.706601466992665
19,4,0.677966101694915
20,4,0.680387409200969
21,4,0.707021791767555
22,4,0.710843373493976
23,4,0.712589073634204
24,4,0.720095693779904
25,4,0.720095693779904
26,4,0.697619047619048
27,4,0.696172248803828
28,4,0.696172248803828
29,4,0.722748815165877
30,4,0.720379146919431
31,4,0.732696897374702
32,4,0.710900473933649
33,4,0.703349282296651
34,4,0.703349282296651
35,4,0.703349282296651
36,4,0.703349282296651
37,4,0.707729468599034
38,4,0.710144927536232
39,4,0.731527093596059
40,4,0.711111111111111
41,4,0.725925925925926
42,4,0.716049382716049
43,4,0.716049382716049
44,4,0.716049382716049
45,4,0.723039215686275
46,4,0.723039215686275
47,4,0.723039215686275
48,4,0.742647058823529
49,4,0.705882352941177
50,4,0.701970443349754
51,4,0.701970443349754
52,4,0.701970443349754
53,4,0.723716381418093
54,4,0.72972972972973
55,4,0.709677419354839
56,4,0.735294117647059
57,4,0.735294117647059
58,4,0.735294117647059
59,4,0.730392156862745
60,4,0.743341404358354
61,4,0.743341404358354
62,4,0.743341404358354
63,4,0.721549636803874
64,4,0.721549636803874
65,4,0.745192307692308
66,4,0.745192307692308
67,4,0.730769230769231
68,4,0.743341404358354
69,4,0.705159705159705
70,4,0.727272727272727
71,4,0.727272727272727
72,4,0.727272727272727
73,4,0.727272727272727
74,4,0.71078431372549
75,4,0.71078431372549
76,4,0.71078431372549
77,4,0.71078431372549
78,4,0.71078431372549
79,4,0.71078431372549
80,4,0.71078431372549
81,4,0.716049382716049
82,4,0.730864197530864
83,4,0.730864197530864
84,4,0.730864197530864
85,4,0.730864197530864
86,4,0.730864197530864
87,4,0.716049382716049
88,4,0.738271604938272
89,4,0.733333333333333
90,4,0.733333333333333
91,4,0.738271604938272
92,4,0.738271604938272
93,4,0.738271604938272
94,4,0.738271604938272
95,4,0.738271604938272
96,4,0.716049382716049
97,4,0.716049382716049
98,4,0.730120481927711
99,4,0.730120481927711
100,4,0.730120481927711
1,5,0.65375854214123
2,5,0.683035714285714
3,5,0.690744920993228
4,5,0.704697986577181
5,5,0.691441441441442
6,5,0.708240534521158
7,5,0.68314606741573
8,5,0.694570135746606
9,5,0.703196347031963
10,5,0.713302752293578
11,5,0.678983833718245
12,5,0.699769053117783
13,5,0.695852534562212
14,5,0.708333333333333
15,5,0.71264367816092
16,5,0.715596330275229
17,5,0.723744292237443
18,5,0.738532110091743
19,5,0.698630136986301
20,5,0.713636363636364
21,5,0.718181818181818
22,5,0.702947845804989
23,5,0.71655328798186
24,5,0.713963963963964
25,5,0.713963963963964
26,5,0.693693693693694
27,5,0.718820861678005
28,5,0.718820861678005
29,5,0.7313769751693
30,5,0.736486486486487
31,5,0.723981900452489
32,5,0.717194570135747
33,5,0.712669683257919
34,5,0.712669683257919
35,5,0.712669683257919
36,5,0.712669683257919
37,5,0.723356009070295
38,5,0.714285714285714
39,5,0.739130434782609
40,5,0.723112128146453
